
The number of tuples used in the solution set is: 625 out of the 816 possible ones. They are:

tuple		times seen
-----		----------
(1, 11, 17)	:5
(8, 9, 12)	:4
(2, 7, 17)	:4
(1, 3, 8)	:4
(2, 7, 10)	:4
(4, 10, 13)	:4
(9, 12, 17)	:4
(4, 11, 12)	:3
(6, 10, 16)	:3
(2, 7, 15)	:3
(2, 12, 13)	:3
(14, 15, 16)	:3
(1, 6, 12)	:3
(6, 13, 18)	:3
(5, 7, 18)	:3
(2, 3, 16)	:3
(12, 14, 15)	:3
(1, 5, 6)	:3
(1, 9, 12)	:3
(3, 6, 17)	:3
(6, 11, 17)	:3
(5, 14, 15)	:3
(15, 16, 17)	:3
(3, 9, 15)	:3
(2, 4, 9)	:3
(4, 14, 15)	:3
(1, 2, 9)	:3
(8, 12, 15)	:3
(1, 10, 18)	:3
(13, 14, 18)	:3
(5, 11, 16)	:3
(5, 10, 14)	:3
(2, 5, 12)	:3
(2, 8, 16)	:3
(5, 11, 13)	:3
(3, 11, 15)	:3
(13, 14, 16)	:2
(5, 8, 13)	:2
(5, 9, 10)	:2
(11, 14, 17)	:2
(2, 7, 14)	:2
(10, 11, 18)	:2
(2, 4, 12)	:2
(4, 13, 15)	:2
(3, 6, 11)	:2
(5, 6, 11)	:2
(9, 14, 18)	:2
(10, 15, 18)	:2
(3, 5, 12)	:2
(9, 13, 16)	:2
(7, 10, 15)	:2
(3, 4, 11)	:2
(3, 4, 9)	:2
(15, 16, 18)	:2
(8, 10, 14)	:2
(2, 13, 17)	:2
(6, 8, 12)	:2
(5, 10, 15)	:2
(1, 7, 12)	:2
(1, 6, 16)	:2
(10, 16, 18)	:2
(1, 12, 18)	:2
(1, 11, 14)	:2
(4, 7, 17)	:2
(7, 12, 15)	:2
(5, 13, 18)	:2
(6, 13, 16)	:2
(3, 6, 13)	:2
(3, 14, 16)	:2
(5, 14, 17)	:2
(11, 13, 17)	:2
(1, 5, 11)	:2
(9, 12, 16)	:2
(7, 8, 10)	:2
(3, 4, 6)	:2
(7, 11, 12)	:2
(6, 9, 18)	:2
(2, 3, 8)	:2
(4, 7, 16)	:2
(3, 5, 17)	:2
(10, 14, 18)	:2
(2, 13, 15)	:2
(5, 13, 14)	:2
(5, 10, 12)	:2
(1, 13, 16)	:2
(3, 8, 16)	:2
(8, 14, 16)	:2
(4, 10, 14)	:2
(6, 13, 14)	:2
(7, 16, 18)	:2
(11, 13, 18)	:2
(4, 9, 18)	:2
(13, 16, 18)	:2
(1, 2, 8)	:2
(4, 6, 10)	:2
(5, 8, 14)	:2
(4, 11, 17)	:2
(3, 8, 18)	:2
(6, 17, 18)	:2
(5, 11, 18)	:2
(6, 7, 11)	:2
(8, 11, 17)	:2
(1, 7, 8)	:2
(13, 14, 17)	:2
(3, 6, 14)	:2
(3, 6, 12)	:2
(4, 7, 13)	:2
(3, 9, 11)	:2
(5, 8, 9)	:2
(9, 15, 16)	:2
(1, 2, 4)	:2
(3, 7, 10)	:2
(3, 5, 16)	:2
(6, 11, 12)	:2
(2, 8, 10)	:2
(4, 13, 14)	:2
(12, 13, 14)	:2
(3, 6, 9)	:2
(1, 4, 6)	:2
(1, 9, 17)	:2
(3, 4, 17)	:2
(5, 11, 15)	:2
(3, 4, 10)	:2
(12, 13, 18)	:2
(10, 17, 18)	:2
(5, 7, 14)	:2
(8, 11, 16)	:2
(2, 12, 16)	:2
(8, 9, 18)	:2
(12, 13, 16)	:2
(3, 7, 15)	:2
(7, 12, 16)	:2
(6, 10, 17)	:2
(10, 11, 15)	:2
(1, 3, 11)	:2
(2, 6, 17)	:2
(7, 9, 11)	:2
(1, 2, 11)	:2
(1, 7, 15)	:2
(3, 4, 13)	:2
(4, 8, 15)	:2
(2, 13, 16)	:2
(5, 9, 17)	:2
(5, 6, 16)	:2
(7, 10, 18)	:2
(8, 9, 17)	:2
(8, 12, 18)	:2
(1, 5, 9)	:1
(6, 15, 18)	:1
(5, 6, 9)	:1
(1, 6, 11)	:1
(1, 2, 10)	:1
(3, 4, 12)	:1
(4, 10, 18)	:1
(3, 8, 13)	:1
(4, 8, 16)	:1
(3, 12, 15)	:1
(14, 17, 18)	:1
(3, 7, 17)	:1
(7, 13, 15)	:1
(2, 16, 18)	:1
(4, 8, 17)	:1
(1, 2, 17)	:1
(6, 9, 11)	:1
(4, 6, 17)	:1
(3, 16, 18)	:1
(1, 5, 14)	:1
(1, 7, 14)	:1
(8, 13, 16)	:1
(5, 7, 10)	:1
(1, 4, 14)	:1
(5, 12, 16)	:1
(4, 9, 14)	:1
(8, 9, 16)	:1
(3, 15, 17)	:1
(6, 8, 18)	:1
(5, 10, 16)	:1
(7, 11, 14)	:1
(2, 11, 13)	:1
(2, 17, 18)	:1
(3, 7, 13)	:1
(12, 14, 17)	:1
(11, 13, 15)	:1
(9, 12, 14)	:1
(4, 6, 9)	:1
(5, 13, 17)	:1
(12, 13, 15)	:1
(4, 8, 14)	:1
(3, 11, 17)	:1
(10, 15, 16)	:1
(6, 7, 9)	:1
(9, 12, 18)	:1
(6, 11, 18)	:1
(1, 10, 14)	:1
(3, 5, 7)	:1
(8, 13, 15)	:1
(2, 4, 5)	:1
(2, 4, 8)	:1
(8, 9, 11)	:1
(2, 10, 17)	:1
(2, 9, 15)	:1
(4, 9, 11)	:1
(4, 7, 11)	:1
(3, 9, 14)	:1
(4, 5, 8)	:1
(2, 14, 18)	:1
(8, 17, 18)	:1
(6, 8, 10)	:1
(7, 15, 17)	:1
(1, 10, 16)	:1
(10, 13, 16)	:1
(2, 9, 14)	:1
(2, 4, 16)	:1
(7, 14, 16)	:1
(2, 8, 9)	:1
(3, 15, 18)	:1
(5, 11, 17)	:1
(8, 11, 13)	:1
(10, 12, 15)	:1
(8, 10, 18)	:1
(1, 4, 13)	:1
(1, 10, 12)	:1
(4, 6, 15)	:1
(9, 14, 15)	:1
(1, 11, 15)	:1
(6, 9, 10)	:1
(1, 9, 16)	:1
(7, 8, 12)	:1
(1, 12, 15)	:1
(11, 15, 17)	:1
(6, 8, 17)	:1
(4, 8, 13)	:1
(2, 5, 14)	:1
(1, 3, 10)	:1
(2, 5, 16)	:1
(3, 4, 18)	:1
(2, 10, 11)	:1
(2, 4, 7)	:1
(2, 6, 14)	:1
(10, 12, 13)	:1
(9, 17, 18)	:1
(4, 7, 14)	:1
(7, 12, 17)	:1
(6, 15, 16)	:1
(1, 6, 17)	:1
(4, 8, 10)	:1
(9, 11, 18)	:1
(3, 5, 9)	:1
(8, 11, 18)	:1
(2, 10, 14)	:1
(5, 7, 15)	:1
(8, 15, 17)	:1
(3, 9, 13)	:1
(3, 9, 17)	:1
(4, 15, 16)	:1
(2, 11, 12)	:1
(7, 12, 18)	:1
(4, 5, 6)	:1
(5, 8, 10)	:1
